product_name,alcohol_percentage
wild-pig-merlot,13.5
chateau-amsterdam-tempranillo-en-nero-d-avola,13.5
casillero-del-diablo-carmenere-reserva,13.5
les-dauphins-cellier-des-dauphins-selection-rouge,13.5
fontanafredda-barolo,13.5
chateau-juguet-saint-milion-grand-cru,13.5
lindeman-s-bin-65-chardonnay,13.5
rustenberg-chardonnay,13.5
adobe-chardonnay-reserva,13.5
casillero-del-diablo-chardonnay,13.5
rawson-s-retreat-cabernet-sauvignon,13.5
cono-sur-bicicleta-pinot-noir,13.5
african-horizon-merlot,13.5
wild-pig-cabernet-sauvignon,13.5
chateau-bel-air-pomerol,13.5
adobe-cabernet-sauvignon-reserva,13.5
campo-viejo-rioja-tempranillo,13.5
casillero-del-diablo-merlot,13.5
penfolds-koonunga-hill-shiraz-cabernet,13.5
les-dauphins-cotes-du-rhone-rouge,13.5
les-fiefs-lagrange-st-julien,13.5
rawson-s-retreat-chardonnay,13.5
sarria-verdejo,13.5
la-chapelle-de-haut-bages-2016,13.5
lindeman-s-bin-40-merlot,13.5
tilia-malbec,13.5
federico-paternina-rioja,13.5
puklavec-en-friends-cabernet-sauvignon-merlot,13.5
vondeling-babiana,13.5
fantini-montepulciano-d-abruzzo,13.5
stormhoek-pinotage-malbec,13.5
campo-viejo-rioja-reserva,13.5
rustenberg-sauvignon-blanc-chardonnay,13.5
sangre-de-toro-original,13.5
wild-pig-shiraz,13.5
lindeman-s-cabernet-sauvignon-merlot,13.5
cono-sur-bicicleta-cabernet-sauvignon,13.5
ricossa-barbera-piemonte-appassimento,13.5
la-motte-millennium,13.5
lindeman-s-bin-50-shiraz,13.5
casillero-del-diablo-reserva-especial-cabernet-sauvignon,13.5
cono-sur-cabernet-sauvignon-syrah-organic,13.5
19-crimes-revolutionary-rose,13.5
vinas-del-vero-luces-tinto,13.5
lindeman-s-bin-45-cabernet-sauvignon,13.5
trivento-malbec,13.5
domaine-de-saint-ser-de-saint-ser-prestige-rose,13.5
slurp-rood,13.5
be-bio-merlot,13.5
vignerons-l-enclave-la-reserve-cotes-du-rhone-villages,13.5
sansilvestro-piemonte-barbera-organic-red,13.5
aliwen-chardonnay-reserva,13.5
cono-sur-chardonnay-bio,13.5
sibaris-cabernet-sauvignon,13.5
19-crimes-chardonnay,13.5
aliwen-cabernet-sauvignon-syrah-reserva,13.5
jacob-s-creek-merlot,13.7
adobe-carmenere-reserva,13.7
constantina-uitsig-sauvignon-blanc,13.75
casillero-del-diablo-cabernet-sauvignon,13.8
stellenbosch-vineyards-pinotage,13.89
santa-julia-organic-malbec,13.9
jacob-s-creek-shiraz-cabernet,13.9
vina-real-grand-reserva,13.9
norton-coleccion-cabernet-sauvignon,13.9
undurraga-t-h-cabernet-sauvignon-cauquenes,14.0
fantini-puglia-primitivo,14.0
valdivieso-single-vineyard-carmenere,14.0
sangre-de-toro-reserva,14.0
chapelle-de-pontesac-fles,14.0
zuccardi-concreto-malbec,14.0
san-silvestro-barbaresco-magno,14.0
sangre-de-toro-tempranillo,14.0
mesta-organic-tempranillo,14.0
camden-park-camden-park-cabernet-sauvignon,14.0
ah-excellent-rietburg-spatburgunder,14.0
sarmentino-cabernet-sauvignon,14.0
ah-excellent-selectie-valpolicella-ripasso,14.0
hardys-crest-cabernet-shiraz-merlot,14.0
fontanafredda-briccotondo-barbera,14.0
ulisse-montepulciano-d-abruzzo,14.0
fontanafredda-briccotondo-dolcetto,14.0
camden-park-shiraz,14.0
vina-temprana-old-vines-tempranillo,14.0
e-guigal-ctes-du-rhne,14.0
chateau-lavergne-lavergne,14.0
arrogant-frog-toasty-and-buttery-chardonnay,14.0
norton-barrel-select-merlot,14.0
sibaris-carmenere,14.0
rustenberg-john-x-merriman,14.0
ah-shiraz,14.0
ah-excellent-chardonnay-mendoza-argentina,14.0
zuccardi-apelacion-chardonnay,14.0
chateau-monplaisir-malbec-vin-biologique,14.0
norton-barrel-select-malbec,14.0
finca-las-moras-black-label-malbec,14.0
ah-excellent-vina-lorea-rioja-crianza,14.0
chateau-l-argenteyre-mdoc-cru-bourgeois,14.0
riporta-primitivo,14.0
origin-pure-cabernet-sauvignon,14.0
zuccardi-brazos-de-los-andes-malbec,14.0
ah-biologisch-cabernet-sauvignon,14.0
castano-monastrell-organic,14.0
kanonkop-kadette,14.0
piccini-memoro-rosso,14.0
welmoed-sauvignon-blanc,14.02
constantina-uitsig-semillon,14.1
welmoed-merlot,14.18
marques-casa-concha-chardonnay,14.2
marques-casa-concha-cabernet-sauvignon,14.3
constantina-uitsig-chardonnay,14.42
ironstone-old-vine-zinfandel,14.5
protos-roble-ribera-del-duero,14.5
saint-roche-rouge-organic-wine,14.5
novas-chardonnay-gran-reserva,14.5
chateau-camplong-camplong-corbieres,14.5
